#.t	.Aer_Anox_ZP.C(S_A)	.Aer_Anox_ZP.C(S_F)	.Aer_Anox_ZP.C(S_I)	.Aer_Anox_ZP.C(S_N2O)	.Aer_Anox_ZP.C(S_NH)	.Aer_Anox_ZP.C(S_NO)	.Aer_Anox_ZP.C(S_NO2)	.Aer_Anox_ZP.C(S_NO3)	.Aer_Anox_ZP.C(S_O)	.Aer_Anox_ZP.C(X_BA1)	.Aer_Anox_ZP.C(X_BA2)	.Aer_Anox_ZP.C(X_H)	.Aer_Anox_ZP.C(X_TSS)	.Aer_Anox_ZP.FluxN2O_gas
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d
       0	0.449869	 4.21568	  42.742	0.0460128	  2.3963	0.0565285	0.492947	0.0173533	 1.80465	 98.8969	 4.30192	 376.727	 3082.91	 92803.7
0.00347222	0.503945	 4.11576	  42.742	0.145789	 2.30085	0.0939365	0.496573	0.0471514	 1.72278	 98.9099	 4.30392	 376.539	    3083	  294039
0.00694444	0.543206	 4.04272	  42.742	 0.18698	  2.2316	0.0986527	 0.54674	0.073905	 1.66866	 98.9194	 4.30571	 376.345	 3083.12	  377113
0.0104167	0.566307	  3.9232	  42.742	0.209934	 2.17039	0.0993776	0.574373	0.0988986	 1.64654	 98.9276	 4.30744	 376.172	 3083.29	  423406
0.0138889	0.579944	 3.79849	  42.742	0.222516	   2.116	0.100225	0.597789	0.121986	 1.64138	 98.9347	 4.30905	 376.004	 3083.47	  448779
0.0173611	0.587949	 3.67544	  42.742	0.231356	 2.06593	0.101558	0.619205	0.143746	 1.64416	 98.9411	  4.3106	 375.837	 3083.66	  466604
0.0208333	0.592379	 3.55492	  42.742	0.239203	 2.01834	0.103156	0.639076	 0.16446	 1.65059	 98.9471	  4.3121	 375.671	 3083.86	  482428
0.0243056	0.594498	 3.43835	  42.742	0.247051	 1.97261	  0.1049	0.658069	0.184291	 1.65892	 98.9528	 4.31356	 375.504	 3084.05	  498253
0.0277778	0.595136	 3.32631	  42.742	0.255209	 1.92839	0.106727	0.676458	0.203374	 1.66836	 98.9581	 4.31499	 375.337	 3084.25	  514705
 0.03125	0.594828	 3.21917	  42.742	0.263758	 1.88548	0.108613	0.694372	0.221802	 1.67852	 98.9633	 4.31639	 375.169	 3084.44	  531944
