#.t	.Aer_Anox_ZP.C(S_A)	.Aer_Anox_ZP.C(S_F)	.Aer_Anox_ZP.C(S_I)	.Aer_Anox_ZP.C(S_N2O)	.Aer_Anox_ZP.C(S_NH)	.Aer_Anox_ZP.C(S_NO)	.Aer_Anox_ZP.C(S_NO2)	.Aer_Anox_ZP.C(S_NO3)	.Aer_Anox_ZP.C(S_O)	.Aer_Anox_ZP.C(X_BA1)	.Aer_Anox_ZP.C(X_BA2)	.Aer_Anox_ZP.C(X_H)	.Aer_Anox_ZP.C(X_TSS)	.Aer_Anox_ZP.FluxN2O_gas
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d
       0	0.449869	 4.21568	  42.742	0.0460128	  2.3963	0.0565285	0.492947	0.0173533	 1.80465	 98.8969	 4.30192	 376.727	 3082.91	 92803.7
0.00347222	0.503348	 4.11285	  42.742	0.103232	 2.35913	0.110806	0.480993	0.0472078	 1.82641	 98.9013	 4.30393	 376.541	 3082.99	  208207
0.00694444	 0.54165	 4.02954	  42.742	0.157766	  2.2985	0.146969	0.496637	0.0735912	  1.7786	 98.9097	 4.30569	 376.354	 3083.11	  318193
0.0104167	0.565471	 3.91645	  42.742	0.201496	 2.24359	0.171518	0.503393	0.0987905	 1.75228	 98.9171	 4.30743	  376.18	 3083.28	  406387
0.0138889	0.579652	 3.80127	  42.742	0.234909	 2.19487	0.188757	 0.51229	0.122033	 1.74153	 98.9236	 4.30907	 376.011	 3083.46	  473774
0.0173611	  0.5879	  3.6888	  42.742	0.261653	 2.14977	0.203547	0.522017	0.143743	 1.73959	 98.9295	 4.31062	 375.843	 3083.65	  527709
0.0208333	0.592426	 3.58093	  42.742	0.283763	 2.10713	0.218128	0.532479	 0.16427	 1.74242	  98.935	 4.31211	 375.676	 3083.84	  572298
0.0243056	0.594593	 3.47946	  42.742	0.302551	 2.06634	0.233639	0.543832	0.183791	 1.74791	 98.9401	 4.31355	 375.507	 3084.03	  610186
0.0277778	0.595325	  3.3852	  42.742	0.318964	 2.02698	0.250688	0.556039	0.202467	 1.75489	  98.945	 4.31496	 375.337	 3084.22	  643284
 0.03125	0.595187	 3.29863	  42.742	0.333537	 1.98882	0.269634	0.569066	0.220403	 1.76277	 98.9496	 4.31633	 375.165	  3084.4	  672671
0.0347222	0.594563	 3.21984	  42.742	0.346618	 1.95168	0.290629	0.582854	0.237687	 1.77119	  98.954	 4.31767	 374.992	 3084.59	  699048
0.0381944	  0.5937	 3.14873	  42.742	0.358414	 1.91545	0.313703	0.597337	0.254387	 1.77995	 98.9583	 4.31898	 374.817	 3084.76	  722833
0.0416667	0.592757	 3.08496	  42.742	0.369067	 1.88004	 0.33877	0.612434	 0.27056	 1.78894	 98.9623	 4.32028	  374.64	 3084.94	  744313
0.0451389	0.591836	 3.02808	  42.742	0.378682	 1.84538	0.365661	0.628061	0.286252	 1.79811	 98.9662	 4.32155	 374.462	 3085.11	  763700
0.0486111	0.590992	 2.97754	  42.742	0.387359	 1.81142	0.394131	0.644122	0.301505	  1.8074	 98.9699	 4.32281	 374.282	 3085.28	  781194
0.0520833	0.590257	 2.93278	  42.742	0.395183	 1.77812	0.423913	 0.66052	 0.31635	 1.81682	 98.9735	 4.32406	 374.101	 3085.45	  796967
0.0555556	0.589642	  2.8931	  42.742	0.402256	 1.74545	0.454693	0.677148	0.330822	 1.82636	 98.9768	 4.32529	 373.918	 3085.61	  811225
0.0590278	0.589146	   2.858	  42.742	0.408657	 1.71339	0.486184	0.693905	0.344943	 1.83601	 98.9801	 4.32652	 373.735	 3085.77	  824127
  0.0625	0.588761	 2.82682	  42.742	 0.41448	 1.68193	 0.51809	0.710687	0.358743	 1.84579	 98.9832	 4.32773	 373.551	 3085.93	  835864
0.0659722	0.588475	 2.79905	  42.742	0.419806	 1.65103	0.550148	0.727396	0.372244	 1.85569	 98.9861	 4.32894	 373.366	 3086.09	  846598
0.0694444	0.588277	 2.77421	  42.742	0.424706	  1.6207	0.582124	0.743937	0.385466	 1.86572	 98.9889	 4.33015	 373.181	 3086.24	  856472
0.0729167	0.588152	 2.75191	  42.742	0.429241	 1.59093	 0.61381	0.760221	 0.39843	 1.87587	 98.9915	 4.33135	 372.996	 3086.39	  865611
0.0763889	0.588089	 2.73175	  42.742	 0.43347	 1.56171	0.645036	0.776172	0.411156	 1.88615	  98.994	 4.33255	  372.81	 3086.54	  874132
0.0798611	0.588077	 2.71341	  42.742	0.437439	 1.53302	0.675661	0.791718	0.423661	 1.89654	 98.9964	 4.33375	 372.624	 3086.69	  882128
0.0833333	0.588107	 2.69665	  42.742	0.441184	 1.50487	 0.70557	0.806797	0.435962	 1.90704	 98.9986	 4.33495	 372.438	 3086.84	  889673
0.0868055	0.588171	 2.68124	  42.742	0.444737	 1.47724	0.734672	0.821355	0.448075	 1.91765	 99.0007	 4.33614	 372.251	 3086.98	  896829
0.0902778	0.588263	   2.667	  42.742	 0.44812	 1.45014	0.762902	0.835347	0.460014	 1.92836	 99.0026	 4.33734	 372.065	 3087.13	  903644
 0.09375	0.588378	 2.65379	  42.742	0.451351	 1.42356	0.790195	0.848727	0.471793	 1.93917	 99.0045	 4.33855	 371.879	 3087.27	  910151
0.0972222	0.588514	 2.64148	  42.742	0.454445	  1.3975	0.816529	0.861473	0.483425	 1.95007	 99.0062	 4.33975	 371.693	 3087.41	  916382
0.100694	0.588667	 2.62998	  42.742	0.457412	 1.37195	0.841887	0.873565	0.494923	 1.96104	 99.0077	 4.34096	 371.507	 3087.55	  922356
0.104167	0.588836	 2.61921	  42.742	0.460255	 1.34691	0.866236	0.884973	0.506297	  1.9721	 99.0092	 4.34218	 371.321	 3087.68	  928082
0.107639	 0.58902	 2.60912	  42.742	0.462981	 1.32239	0.889591	  0.8957	0.517559	 1.98323	 99.0105	  4.3434	 371.135	 3087.82	  933570
0.111111	0.589218	 2.59965	  42.742	0.465589	 1.29839	0.911941	0.905729	0.528717	 1.99443	 99.0117	 4.34462	 370.949	 3087.95	  938820
0.114583	 0.58943	 2.59078	  42.742	0.468081	  1.2749	 0.93331	0.915074	0.539782	 2.00569	 99.0128	 4.34585	 370.763	 3088.08	  943835
0.118056	0.589656	 2.58249	  42.742	0.470451	 1.25194	0.953682	0.923717	 0.55076	 2.01702	 99.0138	 4.34709	 370.578	 3088.21	  948605
0.121528	0.589897	 2.57473	  42.742	0.472699	 1.22951	0.973095	0.931685	0.561662	  2.0284	 99.0147	 4.34834	 370.393	 3088.34	  953131
   0.125	0.590151	 2.56751	  42.742	0.474823	  1.2076	0.991565	0.938988	0.572495	 2.03984	 99.0154	 4.34959	 370.207	 3088.47	  957404
0.128472	0.590419	 2.56081	  42.742	0.476815	 1.18623	  1.0091	0.945633	0.583263	 2.05134	 99.0161	 4.35086	 370.023	  3088.6	  961413
0.131944	0.590701	 2.55462	  42.742	0.478672	 1.16541	 1.02571	0.951639	0.593975	 2.06289	 99.0166	 4.35213	 369.838	 3088.72	  965148
0.135417	0.590998	 2.54893	  42.742	0.480391	 1.14514	 1.04143	0.957032	0.604636	 2.07448	  99.017	 4.35341	 369.653	 3088.85	  968605
0.138889	0.591308	 2.54374	  42.742	0.481966	 1.12542	 1.05628	0.961833	0.615251	 2.08612	 99.0173	  4.3547	 369.468	 3088.97	  971771
0.142361	 0.59163	 2.53904	  42.742	0.483393	 1.10627	 1.07028	 0.96607	0.625825	 2.09781	 99.0175	   4.356	 369.284	 3089.09	  974640
0.145833	0.591965	 2.53483	  42.742	0.484668	 1.08768	 1.08345	0.969765	0.636362	 2.10953	 99.0175	 4.35731	   369.1	 3089.21	  977202
0.149306	0.592312	  2.5311	  42.742	0.485787	 1.06967	 1.09581	0.972949	0.646866	 2.12128	 99.0175	 4.35863	 368.916	 3089.33	  979451
0.152778	0.592669	 2.52784	  42.742	0.486746	 1.05225	 1.10737	0.975643	0.657341	 2.13306	 99.0173	 4.35996	 368.732	 3089.44	  981376
 0.15625	0.593035	 2.52506	  42.742	0.487545	 1.03541	 1.11816	0.977884	0.667787	 2.14485	 99.0171	  4.3613	 368.548	 3089.56	  982976
0.159722	0.593408	 2.52274	  42.742	 0.48818	 1.01916	  1.1282	0.979701	0.678209	 2.15666	 99.0167	 4.36265	 368.364	 3089.68	  984249
0.163194	0.593787	 2.52087	  42.742	0.488653	 1.00351	 1.13752	0.981125	0.688606	 2.16848	 99.0162	 4.36401	 368.181	 3089.79	  985194
0.166667	0.594171	 2.51945	  42.742	0.488962	0.988444	 1.14613	0.982184	0.698981	 2.18028	 99.0157	 4.36538	 367.998	  3089.9	  985809
0.170139	0.594557	 2.51846	  42.742	0.489111	0.973972	 1.15405	0.982911	0.709333	 2.19207	  99.015	 4.36677	 367.814	 3090.01	  986101
0.173611	0.594944	 2.51792	  42.742	  0.4891	0.960094	 1.16131	0.983332	0.719662	 2.20382	 99.0142	 4.36817	 367.631	 3090.12	  986070
0.177083	 0.59533	 2.51779	  42.742	0.488932	0.946808	 1.16792	0.983475	0.729967	 2.21554	 99.0133	 4.36957	 367.449	 3090.23	  985722
0.180556	0.595713	 2.51807	  42.742	0.488614	0.934097	 1.17393	0.983372	0.740247	  2.2272	 99.0123	 4.37099	 367.266	 3090.34	  985072
0.184028	0.596091	 2.51876	  42.742	0.488148	0.921967	 1.17933	0.983046	  0.7505	 2.23879	 99.0112	 4.37242	 367.083	 3090.45	  984124
  0.1875	0.596462	 2.51984	  42.742	0.487541	0.910401	 1.18417	0.982525	0.760723	 2.25029	   99.01	 4.37386	 366.901	 3090.56	  982893
0.190972	0.596824	 2.52131	  42.742	  0.4868	0.899393	 1.18845	0.981832	0.770914	  2.2617	 99.0088	 4.37531	 366.719	 3090.66	  981391
0.194444	0.597177	 2.52314	  42.742	0.485931	0.888935	 1.19221	0.980989	0.781068	 2.27299	 99.0074	 4.37677	 366.537	 3090.77	  979631
0.197917	0.597518	 2.52535	  42.742	0.484942	0.879012	 1.19547	0.980018	0.791183	 2.28415	  99.006	 4.37824	 366.356	 3090.87	  977629
0.201389	0.597847	 2.52789	  42.742	0.483844	0.869601	 1.19826	0.978943	0.801254	 2.29517	 99.0044	 4.37972	 366.174	 3090.98	  975407
0.204861	0.598162	 2.53078	  42.742	0.482642	0.860701	 1.20059	0.977778	0.811277	 2.30603	 99.0028	 4.38121	 365.993	 3091.08	  972976
0.208333	0.598461	   2.534	  42.742	0.481347	0.852285	  1.2025	0.976543	0.821248	 2.31672	 99.0011	 4.38271	 365.812	 3091.18	  970357
0.211806	0.598745	 2.53753	  42.742	0.479967	0.844343	   1.204	0.975254	0.831162	 2.32723	 98.9994	 4.38422	 365.631	 3091.28	  967566
0.215278	0.599012	 2.54138	  42.742	0.478511	0.836853	 1.20513	0.973926	0.841014	 2.33754	 98.9975	 4.38574	 365.451	 3091.38	  964624
 0.21875	0.599262	 2.54552	  42.742	0.476987	0.829803	  1.2059	0.972571	0.850799	 2.34765	 98.9956	 4.38726	  365.27	 3091.48	  961545
0.222222	0.599494	 2.54994	  42.742	0.475406	0.823167	 1.20634	0.971203	0.860513	 2.35754	 98.9937	 4.38879	  365.09	 3091.58	  958350
0.225694	0.599708	 2.55465	  42.742	0.473775	0.816935	 1.20647	0.969832	 0.87015	 2.36721	 98.9916	 4.39033	 364.911	 3091.68	  955053
0.229167	0.599905	 2.55961	  42.742	0.472102	0.811082	 1.20632	0.968467	0.879707	 2.37664	 98.9895	 4.39188	 364.731	 3091.78	  951673
0.232639	0.600083	 2.56484	  42.742	0.470395	0.805595	 1.20589	0.967118	0.889177	 2.38584	 98.9874	 4.39344	 364.552	 3091.88	  948225
0.236111	0.600243	 2.57031	  42.742	0.468661	0.800456	 1.20523	0.965793	0.898557	 2.39479	 98.9852	   4.395	 364.373	 3091.98	  944723
0.239583	0.600386	 2.57601	  42.742	0.466909	0.795641	 1.20434	0.964496	0.907844	  2.4035	  98.983	 4.39656	 364.194	 3092.07	  941183
0.243056	0.600511	 2.58195	  42.742	0.465143	0.791142	 1.20324	0.963235	 0.91703	 2.41196	 98.9807	 4.39814	 364.016	 3092.17	  937616
0.246528	0.600619	  2.5881	  42.742	 0.46337	0.786941	 1.20196	0.962015	0.926114	 2.42017	 98.9784	 4.39971	 363.837	 3092.27	  934035
    0.25	 0.60071	 2.59446	  42.742	0.461596	0.783014	  1.2005	0.960838	0.935092	 2.42812	  98.976	  4.4013	  363.66	 3092.36	  930453
0.253472	0.600785	 2.60102	  42.742	0.459826	0.779353	 1.19889	0.959709	 0.94396	 2.43583	 98.9736	 4.40289	 363.482	 3092.46	  926878
0.256944	0.600844	 2.60777	  42.742	0.458065	0.775944	 1.19714	0.958632	0.952714	 2.44328	 98.9712	 4.40448	 363.305	 3092.55	  923321
0.260417	0.600888	  2.6147	  42.742	0.456317	0.772767	 1.19527	0.957606	0.961354	 2.45049	 98.9687	 4.40608	 363.128	 3092.65	  919790
0.263889	0.600917	 2.62181	  42.742	0.454585	0.769811	 1.19329	0.956635	0.969874	 2.45745	 98.9662	 4.40768	 362.951	 3092.74	  916292
0.267361	0.600932	 2.62909	  42.742	0.452874	0.767065	 1.19122	0.955719	0.978273	 2.46416	 98.9637	 4.40928	 362.775	 3092.83	  912836
