#.t	.Aer_Anox_ZP.C(S_A)	.Aer_Anox_ZP.C(S_F)	.Aer_Anox_ZP.C(S_I)	.Aer_Anox_ZP.C(S_N2O)	.Aer_Anox_ZP.C(S_NH)	.Aer_Anox_ZP.C(S_NO)	.Aer_Anox_ZP.C(S_NO2)	.Aer_Anox_ZP.C(S_NO3)	.Aer_Anox_ZP.C(S_O)	.Aer_Anox_ZP.C(X_BA1)	.Aer_Anox_ZP.C(X_BA2)	.Aer_Anox_ZP.C(X_H)	.Aer_Anox_ZP.C(X_TSS)	.Aer_Anox_ZP.FluxN2O_gas
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d
       0	0.449869	 4.21568	  42.742	0.0460128	  2.3963	0.0565285	0.492947	0.0173533	 1.80465	 98.8969	 4.30192	 376.727	 3082.91	 92803.7
0.00347222	0.505709	 4.13259	  42.742	0.0733784	 2.40593	0.0568435	0.527573	0.0481523	 1.90167	 98.8944	 4.30402	 376.532	 3082.99	  147996
0.00694444	0.550785	 4.10383	  42.742	0.077878	 2.40315	0.0605804	0.610264	0.0781664	 1.91273	 98.8943	 4.30612	 376.318	 3083.09	  157069
0.0104167	0.581069	 4.03757	  42.742	0.083891	 2.39845	0.0646616	 0.67553	0.108037	 1.91835	 98.8943	  4.3083	 376.118	 3083.25	  169195
0.0138889	0.600568	 3.96099	  42.742	0.0897933	 2.39423	0.0683256	0.734762	0.136284	 1.92415	 98.8942	 4.31041	 375.924	 3083.42	  181098
0.0173611	0.612863	 3.87929	  42.742	0.0953391	 2.39125	0.0717625	0.789373	0.163182	 1.93208	 98.8938	 4.31245	 375.734	 3083.61	  192282
0.0208333	0.620227	 3.79352	  42.742	0.100518	 2.38907	 0.07506	0.839856	0.188911	 1.94153	 98.8933	 4.31443	 375.547	 3083.79	  202726
0.0243056	0.624247	 3.70571	  42.742	0.105403	  2.3875	0.0782834	0.887076	0.213579	 1.95194	 98.8926	 4.31637	 375.362	 3083.97	  212577
0.0277778	0.626092	 3.61729	  42.742	0.110065	 2.38637	0.0814719	0.931687	0.237323	 1.96291	 98.8917	 4.31827	 375.178	 3084.16	  221979
 0.03125	0.626513	 3.52927	  42.742	0.114552	 2.38558	0.0846522	0.974118	0.260236	 1.97419	 98.8908	 4.32012	 374.996	 3084.34	  231027
0.0347222	0.626035	 3.44245	  42.742	0.118899	 2.38504	0.0878461	 1.01471	0.282401	 1.98561	 98.8897	 4.32194	 374.815	 3084.52	  239793
0.0381944	0.625021	  3.3574	  42.742	0.123134	 2.38471	0.0910719	 1.05375	0.303896	 1.99709	 98.8886	 4.32373	 374.634	  3084.7	  248332
0.0416667	0.623705	 3.27456	  42.742	0.127273	 2.38453	0.0943462	 1.09144	0.324784	 2.00855	 98.8873	 4.32549	 374.453	 3084.88	  256680
0.0451389	 0.62224	 3.19425	  42.742	0.131332	  2.3845	0.0976843	 1.12795	0.345115	 2.01997	  98.886	 4.32723	 374.272	 3085.05	  264863
0.0486111	0.620724	  3.1167	  42.742	0.135318	 2.38458	  0.1011	 1.16339	0.364941	 2.03131	 98.8847	 4.32895	 374.091	 3085.22	  272901
0.0520833	0.619214	 3.04203	  42.742	0.139239	 2.38477	0.104604	  1.1979	0.384306	 2.04256	 98.8832	 4.33064	  373.91	 3085.39	  280807
0.0555556	0.617742	 2.97035	  42.742	0.143098	 2.38504	 0.10821	 1.23153	0.403246	 2.05371	 98.8817	 4.33232	 373.729	 3085.55	  288588
0.0590278	0.616326	 2.90176	  42.742	0.146895	 2.38541	0.111931	 1.26436	0.421785	 2.06475	 98.8801	 4.33398	 373.547	 3085.71	  296245
