#.t	.Aer_Anox_ZP.C(S_A)	.Aer_Anox_ZP.C(S_F)	.Aer_Anox_ZP.C(S_I)	.Aer_Anox_ZP.C(S_N2O)	.Aer_Anox_ZP.C(S_NH)	.Aer_Anox_ZP.C(S_NO)	.Aer_Anox_ZP.C(S_NO2)	.Aer_Anox_ZP.C(S_NO3)	.Aer_Anox_ZP.C(S_O)	.Aer_Anox_ZP.C(X_BA1)	.Aer_Anox_ZP.C(X_BA2)	.Aer_Anox_ZP.C(X_H)	.Aer_Anox_ZP.C(X_TSS)	.Aer_Anox_ZP.FluxN2O_gas
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d
       0	0.449869	 4.21568	  42.742	0.0460128	  2.3963	0.0565285	0.492947	0.0173533	 1.80465	 98.8969	 4.30192	 376.727	 3082.91	 92803.7
0.00347222	 0.50548	  4.1293	  42.742	0.0796402	 2.39353	0.0712167	0.517395	 0.04803	 1.88039	 98.8963	   4.304	 376.533	 3082.99	  160625
0.00694444	0.549819	 4.09076	  42.742	0.0908953	 2.38163	0.0783707	0.591267	0.0776245	 1.88131	 98.8975	 4.30606	 376.323	  3083.1	  183323
0.0104167	0.579107	 4.01175	  42.742	0.101428	  2.3684	0.0834598	0.647435	 0.10683	 1.88065	 98.8987	 4.30819	 376.128	 3083.26	  204566
0.0138889	0.597714	 3.92318	  42.742	0.109907	 2.35632	0.087574	0.698279	0.134319	  1.8827	 98.8998	 4.31022	 375.939	 3083.44	  221663
0.0173611	0.609259	 3.83088	  42.742	0.117076	 2.34586	0.0914233	0.745149	0.160415	 1.88812	 98.9005	 4.31218	 375.754	 3083.62	  236121
0.0208333	0.616056	 3.73605	  42.742	0.123507	 2.33639	0.0952137	0.788494	0.185328	 1.89567	 98.9011	 4.31409	  375.57	 3083.81	  249091
0.0243056	0.619671	  3.6407	  42.742	0.129548	 2.32766	0.0990345	0.829147	0.209188	  1.9045	 98.9014	 4.31595	 375.389	 3083.99	  261272
0.0277778	0.621214	 3.54611	  42.742	0.135383	 2.31946	0.102924	0.867667	0.232128	 1.91409	 98.9016	 4.31776	 375.209	 3084.18	  273040
 0.03125	0.621417	 3.45316	  42.742	0.141106	 2.31166	0.106906	0.904438	0.254249	 1.92409	 98.9017	 4.31954	 375.029	 3084.36	  284581
0.0347222	0.620784	  3.3625	  42.742	0.146765	 2.30418	   0.111	 0.93976	 0.27564	 1.93434	 98.9017	 4.32128	  374.85	 3084.55	  295992
0.0381944	0.619655	 3.27461	  42.742	0.152382	 2.29696	0.115228	0.973859	0.296376	 1.94469	 98.9016	 4.32299	  374.67	 3084.73	  307319
0.0416667	0.618255	 3.18983	  42.742	0.157968	 2.28995	0.119606	 1.00691	0.316521	 1.95509	 98.9014	 4.32467	 374.491	  3084.9	  318584
0.0451389	0.616729	 3.10844	  42.742	0.163525	 2.28313	0.124157	 1.03903	 0.33612	 1.96549	 98.9011	 4.32633	 374.311	 3085.07	  329790
0.0486111	0.615172	 3.03053	  42.742	0.169052	 2.27647	0.128896	 1.07034	0.355232	 1.97585	 98.9008	 4.32797	 374.131	 3085.24	  340934
0.0520833	0.613639	 2.95619	  42.742	0.174543	 2.26995	0.133842	 1.10093	0.373897	 1.98615	 98.9003	 4.32959	 373.951	 3085.41	  352006
0.0555556	0.612163	 2.88553	  42.742	0.179989	 2.26355	0.139013	 1.13084	0.392143	 1.99638	 98.8998	 4.33119	  373.77	 3085.57	  362987
0.0590278	0.610758	 2.81851	  42.742	 0.18538	 2.25728	0.144424	 1.16013	0.410005	 2.00651	 98.8992	 4.33277	 373.588	 3085.73	  373858
  0.0625	0.609429	 2.75509	  42.742	0.190705	 2.25111	0.150088	 1.18885	0.427512	 2.01655	 98.8985	 4.33434	 373.406	 3085.89	  384595
0.0659722	0.608177	 2.69527	  42.742	0.195951	 2.24504	0.156021	 1.21701	0.444682	 2.02647	 98.8978	  4.3359	 373.223	 3086.04	  395172
0.0694444	0.606997	 2.63897	  42.742	0.201103	 2.23907	0.162235	 1.24466	0.461536	 2.03629	  98.897	 4.33745	 373.039	 3086.19	  405561
