#.t	.Aer_Anox_ZP.C(S_A)	.Aer_Anox_ZP.C(S_F)	.Aer_Anox_ZP.C(S_I)	.Aer_Anox_ZP.C(S_N2O)	.Aer_Anox_ZP.C(S_NH)	.Aer_Anox_ZP.C(S_NO)	.Aer_Anox_ZP.C(S_NO2)	.Aer_Anox_ZP.C(S_NO3)	.Aer_Anox_ZP.C(S_O)	.Aer_Anox_ZP.C(X_BA1)	.Aer_Anox_ZP.C(X_BA2)	.Aer_Anox_ZP.C(X_H)	.Aer_Anox_ZP.C(X_TSS)	.Aer_Anox_ZP.FluxN2O_gas
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d
       0	0.449869	 4.21568	  42.742	0.0460128	  2.3963	0.0565285	0.492947	0.0173533	 1.80465	 98.8969	 4.30192	 376.727	 3082.91	 92803.7
0.00347222	0.503333	 4.11277	  42.742	0.103267	 2.35926	0.110627	0.481002	0.047204	 1.82669	 98.9013	 4.30393	 376.541	 3082.99	  208277
0.00694444	0.541616	 4.02939	  42.742	 0.15789	 2.29862	0.146854	0.496488	0.0735782	 1.77893	 98.9097	 4.30568	 376.354	 3083.11	  318443
0.0104167	0.565437	 3.91636	  42.742	0.201634	 2.24374	0.171479	0.503187	0.0987746	 1.75269	 98.9171	 4.30743	 376.181	 3083.28	  406665
0.0138889	0.579623	 3.80125	  42.742	 0.23505	 2.19506	0.188791	0.512053	0.122017	 1.74199	 98.9236	 4.30907	 376.011	 3083.46	  474058
0.0173611	0.587879	 3.68889	  42.742	0.261795	 2.14999	0.203671	0.521762	0.143727	 1.74007	 98.9295	 4.31062	 375.843	 3083.65	  527996
0.0208333	0.592412	 3.58114	  42.742	0.283904	 2.10738	0.218365	0.532214	0.164253	 1.74291	 98.9349	 4.31211	 375.676	 3083.84	  572582
0.0243056	0.594585	 3.47982	  42.742	0.302687	 2.06661	 0.23401	0.543558	0.183774	 1.74838	 98.9401	 4.31355	 375.507	 3084.03	  610459
0.0277778	0.595322	 3.38573	  42.742	0.319089	 2.02726	0.251217	0.555756	 0.20245	 1.75535	 98.9449	 4.31496	 375.337	 3084.22	  643536
 0.03125	0.595188	 3.29934	  42.742	0.333644	 1.98911	 0.27034	0.568775	0.220384	  1.7632	 98.9496	 4.31633	 375.165	  3084.4	  672887
0.0347222	0.594567	 3.22075	  42.742	  0.3467	 1.95198	0.291533	0.582554	0.237665	 1.77159	  98.954	 4.31767	 374.992	 3084.58	  699213
0.0381944	0.593706	 3.14984	  42.742	0.358463	 1.91575	 0.31482	0.597026	0.254362	 1.78033	 98.9582	 4.31898	 374.817	 3084.76	  722933
0.0416667	0.592765	 3.08628	  42.742	0.369077	 1.88034	0.340114	0.612112	 0.27053	 1.78929	 98.9623	 4.32027	  374.64	 3084.94	  744333
0.0451389	0.591844	 3.02961	  42.742	0.378648	 1.84567	0.367238	0.627725	0.286217	 1.79842	 98.9662	 4.32155	 374.462	 3085.11	  763631
0.0486111	0.591001	 2.97928	  42.742	0.387276	  1.8117	0.395948	0.643771	0.301463	 1.80769	 98.9699	 4.32281	 374.282	 3085.28	  781026
0.0520833	0.590267	  2.9347	  42.742	 0.39505	 1.77839	0.425968	0.660151	  0.3163	 1.81709	 98.9734	 4.32405	 374.101	 3085.45	  796698
0.0555556	 0.58965	  2.8952	  42.742	0.402072	  1.7457	0.456982	0.676759	0.330764	  1.8266	 98.9768	 4.32529	 373.918	 3085.61	  810854
0.0590278	0.589154	 2.86027	  42.742	 0.40842	 1.71363	0.488704	0.693493	0.344875	 1.83623	 98.9801	 4.32651	 373.735	 3085.77	  823650
  0.0625	0.588768	 2.82924	  42.742	0.414195	 1.68214	0.520831	0.710249	0.358665	 1.84598	 98.9831	 4.32773	 373.551	 3085.93	  835288
0.0659722	0.588481	 2.80159	  42.742	0.419474	 1.65123	0.553101	0.726929	0.372155	 1.85586	 98.9861	 4.32894	 373.366	 3086.09	  845928
0.0694444	0.588281	 2.77688	  42.742	0.424328	 1.62088	0.585277	0.743438	0.385366	 1.86586	 98.9889	 4.33014	 373.181	 3086.24	  855710
0.0729167	0.588155	 2.75467	  42.742	0.428822	 1.59109	0.617154	0.759688	0.398319	   1.876	 98.9915	 4.33134	 372.995	 3086.39	  864765
0.0763889	0.588091	 2.73458	  42.742	0.433012	 1.56184	 0.64856	0.775602	0.411032	 1.88625	  98.994	 4.33254	  372.81	 3086.54	  873209
0.0798611	0.588077	 2.71632	  42.742	0.436945	 1.53313	0.679353	 0.79111	0.423525	 1.89662	 98.9964	 4.33374	 372.623	 3086.69	  881132
0.0833333	0.588105	 2.69961	  42.742	0.440657	 1.50496	0.709418	0.806147	0.435813	 1.90711	 98.9986	 4.33494	 372.437	 3086.84	  888610
0.0868055	0.588168	 2.68424	  42.742	0.444179	 1.47731	0.738667	0.820663	0.447914	  1.9177	 99.0007	 4.33614	 372.251	 3086.98	  895704
0.0902778	0.588259	 2.67002	  42.742	0.447534	 1.45018	0.767033	0.834611	0.459841	  1.9284	 99.0026	 4.33734	 372.065	 3087.13	  902462
 0.09375	0.588373	 2.65682	  42.742	0.450739	 1.42358	0.794454	0.847949	0.471608	 1.93919	 99.0045	 4.33854	 371.879	 3087.27	  908917
0.0972222	0.588508	 2.64452	  42.742	0.453808	 1.39749	0.820903	 0.86065	0.483228	 1.95007	 99.0062	 4.33974	 371.693	 3087.41	  915097
0.100694	0.588661	 2.63301	  42.742	0.456751	 1.37192	0.846366	0.872697	0.494714	 1.96103	 99.0078	 4.34095	 371.506	 3087.55	  921024
0.104167	 0.58883	 2.62224	  42.742	0.459572	 1.34686	0.870816	0.884064	0.506077	 1.97208	 99.0092	 4.34217	 371.321	 3087.68	  926704
0.107639	0.589014	 2.61213	  42.742	0.462276	 1.32232	0.894257	0.894746	0.517328	  1.9832	 99.0106	 4.34339	 371.135	 3087.82	  932147
0.111111	0.589213	 2.60264	  42.742	0.464862	  1.2983	 0.91669	0.904737	0.528476	 1.99438	 99.0118	 4.34461	 370.949	 3087.95	  937354
0.114583	0.589426	 2.59374	  42.742	0.467332	  1.2748	0.938128	0.914039	0.539531	 2.00564	 99.0129	 4.34584	 370.764	 3088.08	  942325
0.118056	0.589654	 2.58541	  42.742	0.469681	 1.25183	0.958565	0.922646	0.550501	 2.01696	 99.0139	 4.34708	 370.578	 3088.21	  947052
0.121528	0.589896	 2.57762	  42.742	0.471907	 1.22938	0.978036	0.930581	0.561395	 2.02834	 99.0147	 4.34833	 370.393	 3088.34	  951534
   0.125	0.590152	 2.57036	  42.742	0.474008	 1.20746	0.996555	0.937853	0.572221	 2.03978	 99.0155	 4.34958	 370.208	 3088.47	  955762
0.128472	0.590422	 2.56362	  42.742	0.475977	  1.1861	 1.01412	0.944466	0.582983	 2.05128	 99.0161	 4.35084	 370.023	  3088.6	  959722
0.131944	0.590708	 2.55739	  42.742	 0.47781	 1.16527	 1.03077	0.950447	 0.59369	 2.06282	 99.0166	 4.35211	 369.838	 3088.72	  963410
0.135417	0.591007	 2.55166	  42.742	0.479504	   1.145	 1.04652	0.955819	0.604346	 2.07442	  99.017	 4.35339	 369.653	 3088.85	  966815
0.138889	 0.59132	 2.54642	  42.742	0.481052	 1.12529	 1.06139	0.960603	0.614958	 2.08607	 99.0173	 4.35468	 369.469	 3088.97	  969930
0.142361	0.591646	 2.54167	  42.742	0.482453	 1.10614	 1.07541	0.964827	0.625531	 2.09775	 99.0175	 4.35598	 369.284	 3089.09	  972744
