#.t	.Aer_Anox_ZP.C(S_A)	.Aer_Anox_ZP.C(S_F)	.Aer_Anox_ZP.C(S_I)	.Aer_Anox_ZP.C(S_N2O)	.Aer_Anox_ZP.C(S_NH)	.Aer_Anox_ZP.C(S_NO)	.Aer_Anox_ZP.C(S_NO2)	.Aer_Anox_ZP.C(S_NO3)	.Aer_Anox_ZP.C(S_O)	.Aer_Anox_ZP.C(X_BA1)	.Aer_Anox_ZP.C(X_BA2)	.Aer_Anox_ZP.C(X_H)	.Aer_Anox_ZP.C(X_TSS)	.Aer_Anox_ZP.FluxN2O_gas
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d
       0	0.449869	 4.21568	  42.742	0.0460128	  2.3963	0.0565285	0.492947	0.0173533	 1.80465	 98.8969	 4.30192	 376.727	 3082.91	 92803.7
0.00347222	0.503328	 4.11277	  42.742	0.103188	  2.3597	0.109861	0.481403	0.0472048	  1.8275	 98.9013	 4.30393	 376.541	 3082.99	  208118
0.00694444	0.541608	  4.0293	  42.742	0.157727	 2.29927	0.145716	0.497083	0.0735818	 1.78002	 98.9096	 4.30569	 376.354	 3083.11	  318114
0.0104167	0.565439	 3.91616	  42.742	0.201304	 2.24461	0.170013	0.504004	0.0987908	 1.75397	  98.917	 4.30743	 376.181	 3083.28	  405999
0.0138889	0.579633	 3.80087	  42.742	0.234535	 2.19614	 0.18703	0.513065	0.122049	 1.74337	 98.9234	 4.30907	 376.012	 3083.46	  473019
0.0173611	0.587894	 3.68827	  42.742	0.261109	 2.15127	0.201643	0.522932	0.143778	 1.74151	 98.9293	 4.31062	 375.844	 3083.65	  526611
0.0208333	0.592428	 3.58024	  42.742	0.283072	 2.10883	0.216079	0.533511	0.164324	 1.74438	 98.9347	 4.31212	 375.676	 3083.84	  570903
0.0243056	0.594596	 3.47861	  42.742	0.301738	 2.06823	 0.23147	0.544958	0.183863	 1.74987	 98.9398	 4.31356	 375.507	 3084.03	  608547
0.0277778	0.595326	 3.38418	  42.742	0.318063	 2.02904	0.248414	0.557235	0.202557	 1.75684	 98.9447	 4.31497	 375.337	 3084.22	  641467
 0.03125	0.595182	 3.29745	  42.742	0.332573	 1.99103	 0.26727	0.570314	0.220509	 1.76468	 98.9493	 4.31634	 375.166	  3084.4	  670727
0.0347222	 0.59455	  3.2185	  42.742	0.345618	 1.95403	0.288184	0.584138	0.237809	 1.77306	 98.9537	 4.31768	 374.992	 3084.59	  697032
0.0381944	0.593677	 3.14724	  42.742	0.357397	 1.91793	0.311192	0.598643	0.254522	 1.78177	 98.9579	 4.31899	 374.817	 3084.76	  720782
0.0416667	0.592724	 3.08332	  42.742	 0.36805	 1.88263	0.336202	0.613753	0.270707	 1.79072	  98.962	 4.32029	 374.641	 3084.94	  742263
0.0451389	0.591791	 3.02632	  42.742	0.377677	 1.84806	0.363054	0.629384	0.286408	 1.79982	 98.9658	 4.32157	 374.462	 3085.11	  761672
0.0486111	0.590937	 2.97567	  42.742	0.386375	 1.81419	0.391498	0.645443	0.301669	 1.80906	 98.9695	 4.32283	 374.282	 3085.28	  779209
0.0520833	0.590192	 2.93082	  42.742	0.394225	 1.78096	0.421271	0.661834	0.316519	 1.81841	 98.9731	 4.32407	 374.101	 3085.45	  795034
