#.t	.Aer_Anox_ZP.C(S_A)	.Aer_Anox_ZP.C(S_F)	.Aer_Anox_ZP.C(S_I)	.Aer_Anox_ZP.C(S_N2O)	.Aer_Anox_ZP.C(S_NH)	.Aer_Anox_ZP.C(S_NO)	.Aer_Anox_ZP.C(S_NO2)	.Aer_Anox_ZP.C(S_NO3)	.Aer_Anox_ZP.C(S_O)	.Aer_Anox_ZP.C(X_BA1)	.Aer_Anox_ZP.C(X_BA2)	.Aer_Anox_ZP.C(X_H)	.Aer_Anox_ZP.C(X_TSS)	.Aer_Anox_ZP.FluxN2O_gas
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d
       0	0.449869	 4.21568	  42.742	0.0460128	  2.3963	0.0565285	0.492947	0.0173533	 1.80465	 98.8969	 4.30192	 376.727	 3082.91	 92803.7
0.00347222	0.505717	 4.13273	  42.742	0.0731653	 2.40639	0.0562223	0.528008	0.0481565	 1.90246	 98.8944	 4.30402	 376.532	 3082.99	  147566
0.00694444	0.550818	 4.10436	  42.742	0.0774064	 2.40394	0.0598149	0.611055	0.0781851	 1.91389	 98.8942	 4.30612	 376.317	 3083.09	  156118
0.0104167	0.581137	 4.03864	  42.742	0.0832525	 2.39955	0.0638466	0.676692	0.108079	 1.91975	 98.8941	 4.30831	 376.117	 3083.25	  167908
0.0138889	0.600672	 3.96258	  42.742	0.0890641	 2.39561	0.0674818	0.736271	0.136354	  1.9257	  98.894	 4.31041	 375.923	 3083.42	  179628
0.0173611	0.612993	 3.88133	  42.742	0.0945531	 2.39291	0.0708907	  0.7912	 0.16328	 1.93373	 98.8936	 4.31246	 375.733	  3083.6	  190697
0.0208333	0.620376	 3.79595	  42.742	0.0996869	   2.391	0.0741569	0.841976	0.189038	 1.94327	  98.893	 4.31445	 375.546	 3083.79	  201050
0.0243056	0.624415	 3.70847	  42.742	 0.10453	 2.38969	0.0773448	0.889473	0.213737	 1.95375	 98.8922	 4.31639	 375.361	 3083.97	  210817
0.0277778	0.626274	 3.62033	  42.742	0.109149	 2.38883	0.0804936	0.934342	0.237511	 1.96478	 98.8914	 4.31828	 375.177	 3084.16	  220132
 0.03125	  0.6267	 3.53254	  42.742	0.113589	  2.3883	0.0836298	0.977007	0.260451	 1.97611	 98.8904	 4.32014	 374.995	 3084.34	  229085
0.0347222	 0.62623	 3.44591	  42.742	0.117887	 2.38802	0.0867752	 1.01783	0.282644	 1.98758	 98.8893	 4.32197	 374.813	 3084.52	  237752
0.0381944	0.625221	   3.361	  42.742	0.122069	 2.38794	0.0899481	 1.05708	0.304167	 1.99911	 98.8881	 4.32376	 374.632	  3084.7	  246185
0.0416667	 0.62391	 3.27827	  42.742	0.126154	 2.38802	0.0931646	 1.09497	0.325082	 2.01062	 98.8868	 4.32552	 374.451	 3084.88	  254422
0.0451389	0.622448	 3.19802	  42.742	0.130156	 2.38823	0.0964394	 1.13167	0.345443	 2.02208	 98.8855	 4.32726	 374.271	 3085.05	  262491
0.0486111	0.620935	 3.12051	  42.742	0.134083	 2.38857	0.0997864	  1.1673	0.365295	 2.03346	 98.8841	 4.32898	  374.09	 3085.22	  270411
0.0520833	0.619427	 3.04586	  42.742	0.137944	   2.389	0.103217	 1.20197	0.384685	 2.04476	 98.8826	 4.33068	 373.909	 3085.39	  278195
0.0555556	0.617956	 2.97415	  42.742	0.141742	 2.38953	0.106743	 1.23577	 0.40365	 2.05595	  98.881	 4.33236	 373.727	 3085.55	  285853
0.0590278	 0.61654	 2.90552	  42.742	0.145478	 2.39014	0.110376	 1.26876	0.422215	 2.06702	 98.8794	 4.33403	 373.545	 3085.71	  293386
  0.0625	0.615182	 2.83992	  42.742	0.149153	 2.39082	0.114124	   1.301	0.440414	 2.07798	 98.8777	 4.33568	 373.363	 3085.86	  300798
0.0659722	0.613882	 2.77739	  42.742	0.152767	 2.39158	0.117999	 1.33251	0.458267	 2.08881	 98.8759	 4.33732	  373.18	 3086.02	  308083
0.0694444	0.612635	 2.71788	  42.742	0.156317	 2.39241	0.122007	 1.36336	0.475799	 2.09952	 98.8741	 4.33895	 372.997	 3086.17	  315241
0.0729167	0.611437	 2.66141	  42.742	0.159799	 2.39331	 0.12616	 1.39354	0.493022	 2.11008	 98.8722	 4.34056	 372.814	 3086.32	  322261
0.0763889	 0.61028	 2.60787	  42.742	 0.16321	 2.39426	0.130462	 1.42311	0.509959	 2.12051	 98.8702	 4.34217	  372.63	 3086.46	  329139
0.0798611	0.609162	 2.55726	  42.742	0.166546	 2.39528	0.134923	 1.45206	0.526619	  2.1308	 98.8682	 4.34377	 372.445	  3086.6	  335864
0.0833333	0.608077	  2.5095	  42.742	0.169801	 2.39636	0.139548	 1.48041	0.543015	 2.14094	 98.8662	 4.34537	  372.26	 3086.74	  342427
0.0868055	0.607023	 2.46449	  42.742	0.172973	  2.3975	0.144341	 1.50818	 0.55916	 2.15093	  98.864	 4.34695	 372.075	 3086.88	  348820
0.0902778	0.605999	 2.42223	  42.742	0.176052	 2.39869	0.149311	 1.53538	0.575056	 2.16077	 98.8619	 4.34854	 371.889	 3087.01	  355028
 0.09375	0.605002	  2.3826	  42.742	0.179037	 2.39993	 0.15446	 1.56201	0.590715	 2.17045	 98.8597	 4.35011	 371.703	 3087.15	  361046
0.0972222	0.604034	 2.34551	  42.742	0.181923	 2.40122	 0.15979	 1.58809	0.606145	 2.17997	 98.8574	 4.35168	 371.517	 3087.28	  366863
0.100694	0.603094	  2.3109	  42.742	0.184704	 2.40257	0.165304	 1.61363	0.621349	 2.18933	 98.8551	 4.35325	  371.33	  3087.4	  372468
0.104167	0.602183	 2.27871	  42.742	0.187375	 2.40396	0.171006	 1.63861	0.636328	 2.19852	 98.8527	 4.35482	 371.143	 3087.53	  377852
0.107639	0.601303	 2.24881	  42.742	0.189934	 2.40539	0.176893	 1.66307	0.651091	 2.20755	 98.8503	 4.35638	 370.956	 3087.65	  383009
0.111111	0.600453	 2.22113	  42.742	0.192377	 2.40687	0.182964	   1.687	 0.66564	  2.2164	 98.8479	 4.35794	 370.768	 3087.77	  387934
0.114583	0.599636	 2.19558	  42.742	0.194703	 2.40839	0.189217	 1.71041	0.679978	 2.22508	 98.8454	  4.3595	 370.581	 3087.89	  392620
0.118056	0.598853	 2.17211	  42.742	0.196906	 2.40995	0.195651	  1.7333	0.694103	 2.23359	 98.8429	 4.36105	 370.393	 3088.01	  397060
0.121528	0.598103	  2.1506	  42.742	0.198987	 2.41155	0.202261	 1.75567	0.708019	 2.24192	 98.8403	 4.36261	 370.205	 3088.13	  401254
   0.125	0.597388	 2.13097	  42.742	0.200946	 2.41319	0.209038	 1.77755	0.721729	 2.25007	 98.8377	 4.36416	 370.017	 3088.24	  405200
0.128472	0.596707	 2.11312	  42.742	0.202782	 2.41486	0.215978	 1.79894	0.735234	 2.25805	 98.8351	 4.36571	 369.829	 3088.36	  408900
0.131944	 0.59606	 2.09698	  42.742	0.204496	 2.41656	0.223071	 1.81983	0.748535	 2.26585	 98.8325	 4.36726	 369.641	 3088.47	  412355
0.135417	0.595447	 2.08246	  42.742	0.206091	 2.41829	0.230309	 1.84025	0.761632	 2.27347	 98.8298	 4.36881	 369.453	 3088.58	  415566
0.138889	0.594868	 2.06949	  42.742	0.207567	 2.42006	0.237683	 1.86019	0.774526	 2.28092	 98.8271	 4.37036	 369.265	 3088.68	  418539
0.142361	0.594321	 2.05798	  42.742	0.208926	 2.42185	0.245182	 1.87965	0.787216	 2.28819	 98.8243	  4.3719	 369.077	 3088.79	  421277
0.145833	0.593805	 2.04786	  42.742	0.210173	 2.42366	0.252793	 1.89866	0.799704	 2.29528	 98.8216	 4.37345	 368.889	  3088.9	  423789
0.149306	0.593319	 2.03904	  42.742	0.211313	  2.4255	0.260503	 1.91721	0.811992	  2.3022	 98.8188	   4.375	 368.701	    3089	  426083
0.152778	0.592862	 2.03145	  42.742	0.212348	 2.42737	0.268301	 1.93532	 0.82408	 2.30896	  98.816	 4.37654	 368.514	  3089.1	  428168
 0.15625	0.592431	 2.02501	  42.742	0.213284	 2.42925	0.276173	 1.95299	0.835969	 2.31554	 98.8131	 4.37809	 368.326	 3089.21	  430053
0.159722	0.592026	 2.01966	  42.742	0.214126	 2.43116	0.284105	 1.97023	 0.84766	 2.32196	 98.8103	 4.37964	 368.139	 3089.31	  431748
0.163194	0.591645	 2.01533	  42.742	 0.21488	 2.43308	0.292084	 1.98705	0.859153	 2.32821	 98.8074	 4.38118	 367.952	 3089.41	  433263
0.166667	0.591285	 2.01195	  42.742	0.215549	 2.43503	0.300095	 2.00345	 0.87045	  2.3343	 98.8045	 4.38273	 367.765	  3089.5	  434610
0.170139	0.590946	 2.00946	  42.742	0.216141	 2.43699	0.308126	 2.01944	0.881551	 2.34023	 98.8016	 4.38428	 367.579	  3089.6	  435800
0.173611	0.590625	  2.0078	  42.742	 0.21666	 2.43897	0.316162	 2.03502	0.892458	 2.34601	 98.7987	 4.38582	 367.392	  3089.7	  436844
0.177083	0.590322	 2.00692	  42.742	0.217112	 2.44096	 0.32419	 2.05022	0.903171	 2.35163	 98.7957	 4.38737	 367.206	 3089.79	  437752
0.180556	0.590034	 2.00677	  42.742	0.217502	 2.44297	0.332198	 2.06502	0.913691	  2.3571	 98.7928	 4.38892	  367.02	 3089.89	  438536
0.184028	 0.58976	 2.00728	  42.742	0.217837	 2.44499	0.340173	 2.07945	0.924022	 2.36243	 98.7898	 4.39046	 366.835	 3089.98	  439207
  0.1875	0.589498	 2.00842	  42.742	 0.21812	 2.44702	0.348103	  2.0935	0.934163	 2.36761	 98.7868	 4.39201	  366.65	 3090.08	  439774
0.190972	0.589247	 2.01014	  42.742	0.218357	 2.44907	0.355978	 2.10719	0.944119	 2.37265	 98.7838	 4.39356	 366.465	 3090.17	  440250
0.194444	0.589007	 2.01239	  42.742	0.218552	 2.45112	0.363785	 2.12051	0.953887	 2.37755	 98.7808	 4.39511	  366.28	 3090.26	  440641
0.197917	0.588775	 2.01513	  42.742	0.218711	 2.45319	0.371516	 2.13349	0.963473	 2.38232	 98.7778	 4.39666	 366.096	 3090.35	  440958
0.201389	0.588551	 2.01832	  42.742	0.218838	 2.45526	0.379161	 2.14612	0.972877	 2.38696	 98.7747	 4.39821	 365.912	 3090.44	  441210
0.204861	0.588333	 2.02193	  42.742	0.218935	 2.45735	0.386711	 2.15842	  0.9821	 2.39146	 98.7717	 4.39976	 365.728	 3090.53	  441403
0.208333	0.588121	 2.02593	  42.742	0.219008	 2.45944	 0.39416	 2.17038	0.991146	 2.39585	 98.7686	 4.40131	 365.545	 3090.62	  441547
0.211806	0.587914	 2.03029	  42.742	0.219059	 2.46154	0.401498	 2.18202	 1.00002	 2.40011	 98.7655	 4.40286	 365.362	 3090.71	  441647
0.215278	0.587711	 2.03496	  42.742	0.219091	 2.46364	0.408721	 2.19335	 1.00871	 2.40425	 98.7625	 4.40441	 365.179	  3090.8	  441709
 0.21875	0.587512	 2.03994	  42.742	0.219108	 2.46575	0.415823	 2.20436	 1.01724	 2.40827	 98.7594	 4.40596	 364.997	 3090.89	  441741
0.222222	0.587315	  2.0452	  42.742	0.219112	 2.46787	0.422795	 2.21507	 1.02559	 2.41217	 98.7563	 4.40751	 364.815	 3090.98	  441746
0.225694	 0.58712	  2.0507	  42.742	0.219106	 2.46999	0.429638	 2.22549	 1.03378	 2.41597	 98.7532	 4.40906	 364.634	 3091.06	  441730
0.229167	0.586928	 2.05642	  42.742	0.219091	 2.47211	0.436346	 2.23562	  1.0418	 2.41966	 98.7501	 4.41062	 364.453	 3091.15	  441697
0.232639	0.586736	 2.06236	  42.742	 0.21907	 2.47424	0.442914	 2.24546	 1.04966	 2.42324	  98.747	 4.41217	 364.272	 3091.23	  441651
0.236111	0.586546	 2.06849	  42.742	0.219043	 2.47637	0.449342	 2.25502	 1.05736	 2.42671	 98.7439	 4.41372	 364.092	 3091.32	  441595
