#.t	.Aer_Anox_ZP.C(S_A)	.Aer_Anox_ZP.C(S_F)	.Aer_Anox_ZP.C(S_I)	.Aer_Anox_ZP.C(S_N2O)	.Aer_Anox_ZP.C(S_NH)	.Aer_Anox_ZP.C(S_NO)	.Aer_Anox_ZP.C(S_NO2)	.Aer_Anox_ZP.C(S_NO3)	.Aer_Anox_ZP.C(S_O)	.Aer_Anox_ZP.C(X_BA1)	.Aer_Anox_ZP.C(X_BA2)	.Aer_Anox_ZP.C(X_H)	.Aer_Anox_ZP.C(X_TSS)	.Aer_Anox_ZP.FluxN2O_gas
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d
       0	0.449869	 4.21568	  42.742	0.0460128	  2.3963	0.0565285	0.492947	0.0173533	 1.80465	 98.8969	 4.30192	 376.727	 3082.91	 92803.7
0.00347222	0.508472	 4.14322	  42.742	0.0616203	 2.46658	0.027628	0.531645	0.0303909	 2.06721	 98.8892	 4.30274	 376.526	 3082.98	  124281
0.00694444	0.559876	 4.14468	  42.742	0.0523328	 2.51055	0.0254506	0.627264	0.0444744	 2.17963	 98.8867	 4.30383	 376.295	 3083.09	  105548
0.0104167	0.596855	 4.11886	  42.742	0.0499866	 2.54771	0.0273945	0.713468	0.0592957	 2.25888	 98.8852	 4.30517	 376.075	 3083.25	  100816
0.0138889	0.622314	 4.08371	  42.742	0.0513857	   2.581	0.029739	0.796474	0.0738243	 2.31625	  98.884	 4.30654	  375.86	 3083.42	  103637
0.0173611	0.639456	 4.04155	  42.742	0.0541015	 2.61283	0.0319575	0.875739	0.0880067	 2.36221	 98.8828	 4.30791	  375.65	  3083.6	  109113
0.0208333	0.650646	  3.9926	  42.742	0.0570855	  2.6438	0.0339679	0.950771	0.101813	 2.40111	 98.8814	 4.30928	 375.444	 3083.78	  115131
0.0243056	0.657626	 3.93857	  42.742	0.0599688	 2.67427	0.0357823	 1.02186	0.115218	 2.43527	 98.8799	 4.31062	 375.241	 3083.96	  120945
0.0277778	0.661703	 3.88082	  42.742	0.0626255	 2.70442	0.0374232	 1.08934	0.128227	 2.46612	 98.8782	 4.31195	 375.042	 3084.15	  126303
 0.03125	0.663805	 3.82045	  42.742	0.0650262	 2.73436	0.0389127	 1.15355	0.140855	 2.49455	 98.8763	 4.31325	 374.845	 3084.33	  131144
0.0347222	0.664579	 3.75835	  42.742	0.0671756	 2.76413	0.0402695	 1.21476	0.153114	 2.52116	 98.8743	 4.31452	 374.649	 3084.51	  135478
0.0381944	0.664497	 3.69527	  42.742	0.0690955	 2.79377	0.0415116	  1.2733	0.165027	 2.54633	  98.872	 4.31577	 374.456	 3084.69	  139350
0.0416667	0.663868	 3.63178	  42.742	0.0708082	 2.82328	0.0426532	 1.32941	0.176611	 2.57034	 98.8696	   4.317	 374.263	 3084.87	  142803
0.0451389	0.662903	 3.56837	  42.742	0.0723337	 2.85269	0.0437053	 1.38331	0.187881	 2.59337	 98.8671	 4.31821	 374.072	 3085.04	  145879
0.0486111	0.661744	  3.5054	  42.742	0.0736938	 2.88198	0.0446788	 1.43519	0.198857	 2.61556	 98.8644	 4.31939	 373.882	 3085.22	  148621
0.0520833	0.660481	 3.44318	  42.742	0.0749067	 2.91117	0.0455825	 1.48522	0.209555	 2.63701	 98.8616	 4.32055	 373.692	 3085.39	  151067
0.0555556	 0.65917	 3.38195	  42.742	0.0759885	 2.94026	0.0464237	 1.53356	0.219991	 2.65779	 98.8586	  4.3217	 373.502	 3085.55	  153248
0.0590278	0.657844	 3.32189	  42.742	0.0769533	 2.96924	0.0472088	 1.58034	0.230178	 2.67797	 98.8555	 4.32283	 373.313	 3085.72	  155193
  0.0625	0.656522	 3.26317	  42.742	0.0778126	 2.99813	0.047943	 1.62564	0.240128	 2.69757	 98.8524	 4.32394	 373.124	 3085.88	  156925
0.0659722	0.655212	 3.20591	  42.742	0.0785781	 3.02691	0.0486312	 1.66959	0.249853	 2.71665	 98.8491	 4.32504	 372.935	 3086.04	  158468
0.0694444	0.653917	  3.1502	  42.742	0.0792599	  3.0556	0.0492778	 1.71226	0.259365	 2.73524	 98.8457	 4.32612	 372.746	 3086.19	  159842
0.0729167	0.652638	 3.09611	  42.742	0.0798665	  3.0842	0.0498865	 1.75373	0.268675	 2.75336	 98.8422	 4.32719	 372.557	 3086.35	  161065
0.0763889	0.651374	 3.04372	  42.742	0.0804046	  3.1127	0.0504599	 1.79405	0.277787	 2.77103	 98.8386	 4.32824	 372.368	  3086.5	  162149
0.0798611	0.650121	 2.99304	  42.742	0.0808827	 3.14112	0.0510018	 1.83331	0.286716	 2.78827	 98.8349	 4.32928	 372.179	 3086.65	  163112
0.0833333	0.648879	 2.94416	  42.742	0.0813049	 3.16944	0.0515137	 1.87151	0.295463	  2.8051	 98.8311	 4.33032	 371.989	 3086.79	  163963
0.0868055	0.647645	 2.89703	  42.742	0.0816788	 3.19769	0.0519989	 1.90875	 0.30404	 2.82153	 98.8273	 4.33134	   371.8	 3086.93	  164716
0.0902778	 0.64642	 2.85171	  42.742	0.0820082	 3.22586	0.0524587	 1.94502	 0.31245	 2.83757	 98.8234	 4.33235	  371.61	 3087.08	  165379
 0.09375	0.645204	 2.80819	  42.742	0.082298	 3.25395	0.0528954	 1.98039	  0.3207	 2.85324	 98.8194	 4.33335	 371.421	 3087.21	  165963
0.0972222	0.643996	 2.76644	  42.742	0.0825526	 3.28196	0.0533107	 2.01488	0.328796	 2.86854	 98.8153	 4.33434	 371.231	 3087.35	  166475
0.100694	0.642797	 2.72647	  42.742	0.0827757	  3.3099	0.053706	 2.04852	0.336741	 2.88349	 98.8112	 4.33533	 371.041	 3087.49	  166924
0.104167	 0.64161	 2.68829	  42.742	0.0829702	 3.33776	0.0540826	 2.08133	0.344539	 2.89809	  98.807	  4.3363	 370.851	 3087.62	  167315
0.107639	0.640434	 2.65183	  42.742	0.0831398	 3.36556	0.054442	 2.11334	0.352196	 2.91234	 98.8027	 4.33727	  370.66	 3087.75	  167656
0.111111	0.639272	 2.61707	  42.742	0.0832873	 3.39329	0.0547854	 2.14457	0.359715	 2.92626	 98.7984	 4.33823	  370.47	 3087.88	  167953
0.114583	0.638126	 2.58398	  42.742	0.0834155	 3.42095	0.0551139	 2.17505	0.367099	 2.93985	 98.7941	 4.33918	 370.279	    3088	  168210
0.118056	0.636996	 2.55253	  42.742	0.0835265	 3.44855	0.0554285	 2.20478	0.374351	 2.95312	 98.7896	 4.34013	 370.088	 3088.13	  168433
0.121528	0.635885	 2.52269	  42.742	0.0836224	 3.47608	0.0557299	 2.23379	0.381473	 2.96606	 98.7852	 4.34107	 369.898	 3088.25	  168625
   0.125	0.634794	 2.49442	  42.742	0.0837055	 3.50354	0.0560191	 2.26209	0.388468	 2.97869	 98.7806	 4.34201	 369.707	 3088.37	  168791
0.128472	0.633724	 2.46765	  42.742	0.0837775	 3.53095	0.056297	  2.2897	0.395339	   2.991	 98.7761	 4.34293	 369.516	 3088.49	  168935
0.131944	0.632675	 2.44236	  42.742	 0.08384	 3.55829	0.0565643	 2.31663	0.402089	 3.00301	 98.7715	 4.34386	 369.325	 3088.61	  169060
0.135417	 0.63165	 2.41848	  42.742	0.0838946	 3.58556	0.0568216	 2.34291	0.408718	 3.01472	 98.7668	 4.34478	 369.134	 3088.72	  169169
0.138889	0.630647	 2.39598	  42.742	0.0839426	 3.61278	0.0570697	 2.36854	 0.41523	 3.02613	 98.7621	 4.34569	 368.943	 3088.84	  169265
0.142361	0.629669	 2.37481	  42.742	0.0839851	 3.63993	0.057309	 2.39353	0.421625	 3.03724	 98.7574	  4.3466	 368.752	 3088.95	  169350
0.145833	0.628714	 2.35494	  42.742	0.0840232	 3.66702	 0.05754	  2.4179	0.427905	 3.04806	 98.7526	  4.3475	 368.561	 3089.06	  169425
0.149306	0.627784	 2.33629	  42.742	0.084058	 3.69405	0.0577633	 2.44166	0.434072	 3.05859	 98.7478	  4.3484	  368.37	 3089.17	  169494
0.152778	0.626878	 2.31884	  42.742	0.0840903	 3.72102	0.0579793	 2.46482	0.440127	 3.06884	  98.743	  4.3493	  368.18	 3089.28	  169558
 0.15625	0.625996	 2.30252	  42.742	0.0841209	 3.74792	0.0581885	  2.4874	0.446072	 3.07881	 98.7381	 4.35019	 367.989	 3089.39	  169619
0.159722	0.625138	 2.28729	  42.742	0.0841503	 3.77476	0.0583913	 2.50941	0.451909	  3.0885	 98.7332	 4.35108	 367.798	 3089.49	  169677
0.163194	0.624302	 2.27311	  42.742	0.0841793	 3.80154	0.058588	 2.53086	0.457639	 3.09793	 98.7282	 4.35196	 367.608	  3089.6	  169734
0.166667	 0.62349	 2.25993	  42.742	0.0842084	 3.82825	0.0587789	 2.55176	0.463263	 3.10708	 98.7233	 4.35284	 367.417	  3089.7	  169792
0.170139	0.622701	 2.24772	  42.742	0.0842378	 3.85489	0.0589644	 2.57212	0.468782	 3.11598	 98.7183	 4.35372	 367.227	  3089.8	  169850
0.173611	0.621933	 2.23642	  42.742	0.0842682	 3.88147	0.0591447	 2.59195	0.474199	 3.12461	 98.7133	 4.35459	 367.037	 3089.91	  169910
0.177083	0.621186	   2.226	  42.742	0.0842997	 3.90799	0.0593201	 2.61127	0.479513	   3.133	 98.7083	 4.35546	 366.847	 3090.01	  169973
0.180556	 0.62046	 2.21642	  42.742	0.0843327	 3.93443	0.0594909	 2.63009	0.484726	 3.14113	 98.7032	 4.35633	 366.657	 3090.11	  170038
0.184028	0.619754	 2.20765	  42.742	0.0843673	 3.96081	0.0596572	 2.64841	0.489838	 3.14902	 98.6981	 4.35719	 366.468	  3090.2	  170107
  0.1875	0.619068	 2.19964	  42.742	0.0844038	 3.98712	0.0598192	 2.66624	0.494853	 3.15667	 98.6931	 4.35806	 366.279	  3090.3	  170179
0.190972	0.618399	 2.19236	  42.742	0.0844423	 4.01336	0.0599773	 2.68361	 0.49977	 3.16408	  98.688	 4.35891	 366.089	  3090.4	  170256
0.194444	0.617749	 2.18577	  42.742	0.0844829	 4.03953	0.0601314	 2.70051	0.504591	 3.17126	 98.6828	 4.35977	 365.901	 3090.49	  170336
0.197917	0.617116	 2.17984	  42.742	0.0845258	 4.06563	0.0602819	 2.71697	0.509318	 3.17822	 98.6777	 4.36063	 365.712	 3090.59	  170422
0.201389	0.616499	 2.17454	  42.742	0.0845709	 4.09166	0.0604288	 2.73298	 0.51395	 3.18496	 98.6725	 4.36148	 365.523	 3090.68	  170511
0.204861	0.615898	 2.16984	  42.742	0.0846182	 4.11761	0.0605723	 2.74856	 0.51849	 3.19148	 98.6674	 4.36233	 365.335	 3090.78	  170606
0.208333	0.615312	 2.16572	  42.742	0.0846679	 4.14349	0.0607126	 2.76372	0.522938	 3.19778	 98.6622	 4.36317	 365.147	 3090.87	  170705
0.211806	 0.61474	 2.16214	  42.742	0.0847199	  4.1693	0.0608496	 2.77846	0.527297	 3.20388	  98.657	 4.36402	 364.959	 3090.96	  170809
0.215278	0.614182	 2.15907	  42.742	0.0847742	 4.19503	0.0609837	 2.79281	0.531566	 3.20978	 98.6518	 4.36486	 364.772	 3091.05	  170917
 0.21875	0.613638	  2.1565	  42.742	0.0848308	 4.22068	0.0611148	 2.80676	0.535747	 3.21548	 98.6466	  4.3657	 364.585	 3091.14	  171030
0.222222	0.613106	  2.1544	  42.742	0.0848895	 4.24626	0.061243	 2.82033	0.539841	 3.22098	 98.6414	 4.36654	 364.398	 3091.24	  171148
0.225694	0.612586	 2.15275	  42.742	0.0849505	 4.27176	0.0613685	 2.83352	0.543849	 3.22629	 98.6361	 4.36738	 364.211	 3091.32	  171269
0.229167	0.612078	 2.15152	  42.742	0.0850136	 4.29718	0.0614914	 2.84635	0.547773	 3.23142	 98.6309	 4.36821	 364.025	 3091.41	  171395
0.232639	0.611581	 2.15069	  42.742	0.0850787	 4.32252	0.0616117	 2.85883	0.551614	 3.23637	 98.6257	 4.36904	 363.838	  3091.5	  171526
0.236111	0.611094	 2.15025	  42.742	0.0851458	 4.34778	0.0617294	 2.87095	0.555372	 3.24114	 98.6204	 4.36987	 363.653	 3091.59	  171660
0.239583	0.610617	 2.15018	  42.742	0.0852148	 4.37296	0.0618448	 2.88274	 0.55905	 3.24574	 98.6152	  4.3707	 363.467	 3091.68	  171798
0.243056	0.610149	 2.15045	  42.742	0.0852857	 4.39806	0.0619577	 2.89419	0.562647	 3.25017	 98.6099	 4.37153	 363.282	 3091.76	  171940
0.246528	0.609691	 2.15105	  42.742	0.0853583	 4.42307	0.0620684	 2.90532	0.566166	 3.25443	 98.6046	 4.37236	 363.097	 3091.85	  172085
    0.25	0.609241	 2.15197	  42.742	0.0854326	 4.44801	0.0621769	 2.91613	0.569607	 3.25854	 98.5994	 4.37318	 362.912	 3091.94	  172234
0.253472	0.608799	 2.15318	  42.742	0.0855086	 4.47286	0.0622831	 2.92664	0.572971	 3.26249	 98.5941	   4.374	 362.728	 3092.02	  172386
0.256944	0.608366	 2.15469	  42.742	0.085586	 4.49762	0.0623872	 2.93684	 0.57626	 3.26628	 98.5888	 4.37483	 362.544	 3092.11	  172541
0.260417	0.607939	 2.15646	  42.742	0.0856649	  4.5223	0.0624893	 2.94676	0.579475	 3.26993	 98.5836	 4.37565	  362.36	 3092.19	  172699
0.263889	 0.60752	 2.15849	  42.742	0.0857452	  4.5469	0.0625893	 2.95638	0.582616	 3.27344	 98.5783	 4.37646	 362.176	 3092.28	  172860
0.267361	0.607107	 2.16077	  42.742	0.0858268	 4.57141	0.0626873	 2.96573	0.585685	  3.2768	  98.573	 4.37728	 361.993	 3092.36	  173024
0.270833	0.606701	 2.16327	  42.742	0.0859095	 4.59583	0.0627834	 2.97481	0.588684	 3.28002	 98.5677	  4.3781	  361.81	 3092.44	  173190
0.274306	0.606301	   2.166	  42.742	0.0859935	 4.62017	0.0628776	 2.98362	0.591613	 3.28311	 98.5625	 4.37891	 361.628	 3092.53	  173358
0.277778	0.605907	 2.16894	  42.742	0.0860784	 4.64442	 0.06297	 2.99218	0.594473	 3.28608	 98.5572	 4.37973	 361.445	 3092.61	  173528
 0.28125	0.605518	 2.17209	  42.742	0.0861644	 4.66858	0.0630606	 3.00048	0.597266	 3.28891	 98.5519	 4.38054	 361.263	 3092.69	  173700
