#.t	.Aer_Anox_ZP.C(S_A)	.Aer_Anox_ZP.C(S_F)	.Aer_Anox_ZP.C(S_I)	.Aer_Anox_ZP.C(S_N2O)	.Aer_Anox_ZP.C(S_NH)	.Aer_Anox_ZP.C(S_NO)	.Aer_Anox_ZP.C(S_NO2)	.Aer_Anox_ZP.C(S_NO3)	.Aer_Anox_ZP.C(S_O)	.Aer_Anox_ZP.C(X_BA1)	.Aer_Anox_ZP.C(X_BA2)	.Aer_Anox_ZP.C(X_H)	.Aer_Anox_ZP.C(X_TSS)	.Aer_Anox_ZP.FluxN2O_gas
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d
       0	0.449869	 4.21568	  42.742	0.0460128	  2.3963	0.0565285	0.492947	0.0173533	 1.80465	 98.8969	 4.30192	 376.727	 3082.91	 92803.7
0.00347222	0.505319	 4.12699	  42.742	0.0833057	 2.38322	0.0878013	0.506605	0.0479324	 1.86259	 98.8978	   4.304	 376.534	 3082.99	  168018
0.00694444	0.549088	 4.08134	  42.742	0.100213	 2.36422	0.0999154	0.572118	0.0771973	 1.85567	    98.9	 4.30602	 376.326	  3083.1	  202116
0.0104167	0.577602	 3.99297	  42.742	 0.11544	 2.34454	0.107054	0.620009	0.105872	 1.85052	 98.9023	  4.3081	 376.136	 3083.27	  232826
0.0138889	0.595531	 3.89561	  42.742	0.127073	 2.32661	 0.11232	0.663412	 0.13277	 1.85007	 98.9042	 4.31007	 375.951	 3083.44	  256285
0.0173611	0.606525	 3.79566	  42.742	0.136366	 2.31063	 0.11716	0.703549	0.158246	 1.85391	 98.9058	 4.31198	 375.769	 3083.63	  275026
0.0208333	0.612931	 3.69446	  42.742	0.144397	 2.29583	0.122026	0.740764	0.182541	  1.8603	 98.9071	 4.31383	 375.588	 3083.82	  291222
0.0243056	0.616275	 3.59407	  42.742	0.151804	 2.28189	0.127092	0.775806	 0.20579	  1.8682	 98.9082	 4.31562	  375.41	 3084.01	  306159
0.0277778	0.617621	 3.49572	  42.742	0.158933	 2.26858	0.132435	0.809147	0.228123	 1.87697	 98.9092	 4.31738	 375.231	 3084.19	  320535
 0.03125	0.617702	 3.40022	  42.742	0.165954	 2.25577	0.138094	0.841132	 0.24965	 1.88623	 98.9101	 4.31909	 375.053	 3084.38	  334694
0.0347222	   0.617	 3.30814	  42.742	0.172941	 2.24335	0.144108	0.872008	0.270461	 1.89579	 98.9108	 4.32077	 374.875	 3084.56	  348784
0.0381944	0.615843	 3.21988	  42.742	0.179919	 2.23126	0.150518	0.901964	0.290628	  1.9055	 98.9115	 4.32242	 374.697	 3084.74	  362855
0.0416667	0.614447	 3.13573	  42.742	0.186883	 2.21945	0.157368	 0.93114	0.310214	 1.91529	  98.912	 4.32405	 374.518	 3084.92	  376898
0.0451389	0.612957	 3.05586	  42.742	0.193816	  2.2079	0.164704	0.959646	0.329273	 1.92511	 98.9125	 4.32565	 374.338	 3085.09	  390878
0.0486111	0.611462	 2.98039	  42.742	0.200689	 2.19658	0.172574	0.987567	 0.34785	 1.93491	 98.9128	 4.32723	 374.158	 3085.26	  404738
0.0520833	0.610021	 2.90939	  42.742	0.207467	 2.18546	0.181031	 1.01497	0.365982	 1.94466	 98.9131	 4.32879	 373.977	 3085.42	  418406
0.0555556	0.608664	 2.84286	  42.742	0.214113	 2.17453	 0.19012	  1.0419	0.383707	 1.95436	 98.9132	 4.33033	 373.795	 3085.59	  431806
0.0590278	0.607408	 2.78075	  42.742	0.220584	 2.16377	0.199884	  1.0684	0.401051	 1.96397	 98.9133	 4.33186	 373.613	 3085.75	  444855
  0.0625	0.606259	   2.723	  42.742	 0.22684	 2.15318	0.210362	 1.09452	0.418042	  1.9735	 98.9133	 4.33338	 373.429	  3085.9	  457468
0.0659722	0.605217	 2.66953	  42.742	 0.23284	 2.14275	0.221586	 1.12026	0.434699	 1.98292	 98.9133	 4.33489	 373.245	 3086.05	  469565
0.0694444	0.604276	 2.62023	  42.742	0.238544	 2.13246	0.233582	 1.14565	 0.45104	 1.99222	 98.9131	 4.33638	  373.06	  3086.2	  481066
0.0729167	0.603433	 2.57502	  42.742	0.243915	 2.12231	0.246373	  1.1707	0.467076	 2.00141	 98.9129	 4.33787	 372.875	 3086.35	  491894
0.0763889	0.602679	  2.5337	  42.742	0.248928	 2.11229	0.259946	 1.19541	0.482826	 2.01047	 98.9126	 4.33935	 372.688	 3086.49	  502000
0.0798611	0.602005	 2.49608	  42.742	0.253562	  2.1024	0.274288	 1.21979	0.498299	 2.01941	 98.9123	 4.34082	 372.501	 3086.63	  511342
0.0833333	0.601404	 2.46205	  42.742	0.257797	 2.09263	0.289384	 1.24384	0.513502	 2.02821	 98.9119	 4.34229	 372.313	 3086.77	  519880
0.0868055	0.600868	 2.43139	  42.742	0.261632	 2.08298	0.305186	 1.26755	0.528444	 2.03688	 98.9114	 4.34375	 372.125	 3086.91	  527609
0.0902778	0.600388	 2.40387	  42.742	0.265072	 2.07344	0.321636	 1.29091	0.543135	 2.04542	 98.9109	 4.34521	 371.936	 3087.04	  534541
 0.09375	 0.59996	 2.37937	  42.742	0.268115	 2.06401	0.338688	 1.31391	0.557574	 2.05383	 98.9103	 4.34666	 371.747	 3087.17	  540674
0.0972222	0.599574	 2.35758	  42.742	0.270791	 2.05469	 0.35625	 1.33655	0.571773	 2.06211	 98.9096	 4.34811	 371.557	  3087.3	  546067
0.100694	0.599224	 2.33837	  42.742	0.273112	 2.04547	0.374256	 1.35879	0.585731	 2.07027	 98.9089	 4.34956	 371.368	 3087.43	  550743
0.104167	0.598906	 2.32149	  42.742	0.275112	 2.03635	0.392615	 1.38063	0.599458	  2.0783	 98.9081	 4.35101	 371.178	 3087.56	  554772
0.107639	0.598613	 2.30679	  42.742	0.276813	 2.02734	0.411249	 1.40205	0.612951	 2.08622	 98.9073	 4.35245	 370.987	 3087.68	  558198
0.111111	0.598341	 2.29402	  42.742	0.278253	 2.01843	0.430068	 1.42304	0.626222	 2.09402	 98.9065	 4.35389	 370.797	  3087.8	  561097
0.114583	0.598086	 2.28306	  42.742	0.279456	 2.00962	0.448995	 1.44357	0.639266	 2.10172	 98.9055	 4.35533	 370.607	 3087.93	  563518
0.118056	0.597845	 2.27371	  42.742	0.280457	  2.0009	0.467948	 1.46363	0.652092	  2.1093	 98.9046	 4.35677	 370.417	 3088.05	  565533
0.121528	0.597614	  2.2658	  42.742	0.281287	 1.99228	0.486858	 1.48322	0.664705	 2.11678	 98.9036	 4.35821	 370.227	 3088.16	  567201
   0.125	0.597391	 2.25923	  42.742	0.281967	 1.98375	0.505653	  1.5023	0.677101	 2.12416	 98.9025	 4.35965	 370.037	 3088.28	  568569
0.128472	0.597175	 2.25383	  42.742	0.282528	 1.97532	0.524275	 1.52089	0.689289	 2.13143	 98.9014	 4.36109	 369.847	  3088.4	  569694
0.131944	0.596963	 2.24949	  42.742	0.282991	 1.96698	0.542671	 1.53896	0.701273	 2.13861	 98.9003	 4.36253	 369.658	 3088.51	  570623
