#.t	.Aer_Anox_ZP.C(S_A)	.Aer_Anox_ZP.C(S_F)	.Aer_Anox_ZP.C(S_I)	.Aer_Anox_ZP.C(S_N2O)	.Aer_Anox_ZP.C(S_NH)	.Aer_Anox_ZP.C(S_NO)	.Aer_Anox_ZP.C(S_NO2)	.Aer_Anox_ZP.C(S_NO3)	.Aer_Anox_ZP.C(S_O)	.Aer_Anox_ZP.C(X_BA1)	.Aer_Anox_ZP.C(X_BA2)	.Aer_Anox_ZP.C(X_H)	.Aer_Anox_ZP.C(X_TSS)	.Aer_Anox_ZP.FluxN2O_gas
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d
       0	0.449869	 4.21568	  42.742	0.0460128	  2.3963	0.0565285	0.492947	0.0173533	 1.80465	 98.8969	 4.30192	 376.727	 3082.91	 92803.7
0.00347222	0.503771	  4.1161	  42.742	0.108155	  2.3138	0.190372	0.441087	0.0470858	 1.74517	  98.908	 4.30392	  376.54	    3083	  218136
0.00694444	 0.54286	 4.04281	  42.742	0.162955	 2.24164	0.249574	0.449064	0.0734836	 1.68405	 98.9181	 4.30568	 376.348	 3083.12	  328657
0.0104167	0.566544	 3.93854	  42.742	0.213687	 2.17706	0.290437	0.446533	0.0981004	 1.65384	  98.927	 4.30737	 376.172	 3083.28	  430973
0.0138889	0.580864	 3.83737	  42.742	0.254378	  2.1193	0.323988	0.447856	0.120637	 1.64194	 98.9348	 4.30894	 375.999	 3083.46	  513039
0.0173611	0.589548	   3.742	  42.742	0.286806	 2.06599	 0.35529	0.452038	0.141674	 1.63957	 98.9419	 4.31043	 375.826	 3083.64	  578436
0.0208333	0.594708	 3.65318	  42.742	0.313087	 2.01539	0.387171	0.458131	0.161545	 1.64192	 98.9485	 4.31186	 375.653	 3083.83	  631436
0.0243056	0.597629	 3.57225	  42.742	0.334498	 1.96682	0.420984	0.465992	0.180433	 1.64681	 98.9548	 4.31325	 375.478	 3084.01	  674614
0.0277778	0.599129	 3.49948	  42.742	0.351973	 1.91988	0.457256	 0.47535	0.198478	 1.65317	 98.9608	  4.3146	 375.302	  3084.2	  709852
 0.03125	 0.59974	 3.43465	  42.742	0.366221	 1.87435	0.496056	 0.48596	0.215788	 1.66047	 98.9666	 4.31592	 375.125	 3084.38	  738583
0.0347222	0.599813	 3.37727	  42.742	0.377808	 1.83008	0.537171	0.497602	0.232446	 1.66843	 98.9721	 4.31721	 374.945	 3084.56	  761945
0.0381944	 0.59958	 3.32665	  42.742	0.387203	 1.78696	0.580218	0.510071	0.248523	  1.6769	 98.9773	 4.31848	 374.765	 3084.74	  780887
0.0416667	0.599194	 3.28199	  42.742	0.394807	 1.74494	0.624727	0.523171	0.264078	  1.6858	 98.9823	 4.31973	 374.583	 3084.92	  796217
0.0451389	0.598754	 3.24254	  42.742	0.400952	 1.70396	0.670214	0.536726	0.279159	 1.69509	 98.9871	 4.32097	 374.399	 3085.09	  808602
0.0486111	0.598323	 3.20746	  42.742	0.405939	 1.66398	0.716192	0.550564	0.293816	 1.70475	 98.9917	 4.32219	 374.216	 3085.26	  818654
0.0520833	0.597938	 3.17604	  42.742	0.410012	 1.62498	0.762231	0.564532	0.308091	 1.71476	 98.9961	  4.3234	 374.031	 3085.43	  826863
0.0555556	0.597621	 3.14766	  42.742	0.413366	 1.58693	0.807948	0.578494	0.322019	 1.72511	 99.0003	 4.32461	 373.846	  3085.6	  833619
0.0590278	0.597381	 3.12177	  42.742	0.416164	 1.54981	0.853022	0.592326	0.335636	 1.73579	 99.0042	 4.32581	  373.66	 3085.76	  839255
  0.0625	0.597219	 3.09789	  42.742	0.418537	  1.5136	0.897192	 0.60592	0.348973	 1.74679	  99.008	   4.327	 373.475	 3085.92	  844033
0.0659722	0.597133	 3.07565	  42.742	0.420584	 1.47829	0.940246	0.619183	0.362061	 1.75809	 99.0116	  4.3282	 373.289	 3086.08	  848153
0.0694444	0.597117	 3.05473	  42.742	0.422381	 1.44388	0.982018	 0.63203	0.374924	 1.76969	 99.0149	 4.32939	 373.103	 3086.24	  851770
0.0729167	0.597164	 3.03487	  42.742	0.423989	 1.41033	  1.0224	0.644397	0.387591	 1.78158	 99.0181	 4.33058	 372.917	  3086.4	  855006
0.0763889	0.597266	 3.01588	  42.742	0.425451	 1.37764	 1.06129	0.656224	0.400082	 1.79373	 99.0211	 4.33178	 372.731	 3086.56	  857947
0.0798611	0.597415	 2.99762	  42.742	0.426798	  1.3458	 1.09865	0.667461	0.412418	 1.80613	 99.0239	 4.33298	 372.545	 3086.71	  860655
0.0833333	0.597604	 2.97996	  42.742	0.428051	  1.3148	 1.13444	0.678069	0.424618	 1.81878	 99.0265	 4.33418	  372.36	 3086.86	  863174
0.0868055	0.597826	 2.96283	  42.742	0.429226	 1.28464	 1.16864	0.688016	0.436701	 1.83166	 99.0289	 4.33539	 372.174	 3087.01	  865536
0.0902778	0.598076	 2.94619	  42.742	0.430333	 1.25529	 1.20126	0.697278	 0.44868	 1.84475	 99.0312	 4.33661	 371.989	 3087.16	  867760
 0.09375	0.598347	 2.92998	  42.742	0.431377	 1.22675	 1.23232	 0.70584	0.460571	 1.85804	 99.0332	 4.33783	 371.803	 3087.31	  869859
0.0972222	0.598636	  2.9142	  42.742	0.432363	   1.199	 1.26187	0.713693	0.472387	 1.87152	 99.0351	 4.33906	 371.618	 3087.45	  871839
0.100694	0.598939	 2.89885	  42.742	 0.43329	 1.17205	 1.28989	0.720816	0.484137	 1.88517	 99.0369	  4.3403	 371.433	 3087.59	  873701
0.104167	0.599253	 2.88392	  42.742	 0.43416	 1.14587	 1.31647	 0.72722	0.495831	 1.89898	 99.0385	 4.34155	 371.248	 3087.74	  875447
0.107639	0.599574	 2.86943	  42.742	0.434971	 1.12047	 1.34162	0.732899	0.507479	 1.91293	 99.0399	 4.34281	 371.063	 3087.88	  877073
0.111111	0.599902	 2.85539	  42.742	0.435722	 1.09581	 1.36541	0.737867	0.519087	 1.92701	 99.0412	 4.34408	 370.878	 3088.01	  878580
0.114583	0.600234	 2.84183	  42.742	0.436411	 1.07192	 1.38787	0.742115	 0.53066	  1.9412	 99.0423	 4.34536	 370.693	 3088.15	  879961
0.118056	0.600568	 2.82875	  42.742	0.437038	 1.04875	 1.40906	 0.74567	0.542205	  1.9555	 99.0433	 4.34665	 370.509	 3088.28	  881217
0.121528	0.600902	 2.81618	  42.742	0.437601	  1.0263	 1.42904	0.748543	0.553725	 1.96988	 99.0441	 4.34795	 370.324	 3088.42	  882344
   0.125	0.601237	 2.80414	  42.742	0.438099	 1.00457	 1.44784	0.750746	0.565223	 1.98433	 99.0448	 4.34926	  370.14	 3088.55	  883341
0.128472	 0.60157	 2.79265	  42.742	 0.43853	0.983553	  1.4655	0.752289	0.576701	 1.99883	 99.0453	 4.35058	 369.956	 3088.68	  884203
0.131944	0.601901	 2.78172	  42.742	0.438897	0.963219	  1.4821	0.753204	0.588161	 2.01337	 99.0457	 4.35191	 369.772	 3088.81	  884933
0.135417	0.602229	 2.77137	  42.742	0.439196	0.943564	 1.49766	0.753505	0.599603	 2.02794	  99.046	 4.35326	 369.588	 3088.93	  885530
0.138889	0.602552	 2.76161	  42.742	0.439431	 0.92457	 1.51225	0.753221	0.611027	 2.04251	 99.0461	 4.35461	 369.404	 3089.06	  885995
0.142361	 0.60287	 2.75245	  42.742	  0.4396	0.906232	  1.5259	0.752369	0.622432	 2.05708	 99.0461	 4.35598	  369.22	 3089.18	  886328
0.145833	0.603182	 2.74389	  42.742	0.439705	0.888529	 1.53865	0.750976	0.633818	 2.07162	  99.046	 4.35736	 369.037	 3089.31	  886532
0.149306	0.603488	 2.73595	  42.742	0.439746	0.871454	 1.55055	0.749065	0.645182	 2.08612	 99.0458	 4.35875	 368.853	 3089.43	  886607
0.152778	0.603787	 2.72863	  42.742	0.439726	0.854993	 1.56162	0.746659	0.656522	 2.10057	 99.0455	 4.36015	  368.67	 3089.55	  886557
 0.15625	0.604077	 2.72193	  42.742	0.439644	0.839129	 1.57193	0.743789	0.667836	 2.11494	 99.0451	 4.36156	 368.486	 3089.67	  886385
0.159722	0.604359	 2.71586	  42.742	0.439504	0.823852	 1.58148	0.740476	 0.67912	 2.12923	 99.0445	 4.36298	 368.303	 3089.78	  886094
0.163194	0.604632	  2.7104	  42.742	0.439306	0.809139	 1.59035	0.736754	0.690371	 2.14342	 99.0439	 4.36442	  368.12	  3089.9	  885688
0.166667	0.604896	 2.70556	  42.742	0.439054	0.794983	 1.59853	0.732643	0.701586	 2.15749	 99.0431	 4.36586	 367.938	 3090.01	  885172
0.170139	 0.60515	 2.70132	  42.742	0.438749	0.781362	 1.60609	0.728175	0.712761	 2.17143	 99.0423	 4.36731	 367.755	 3090.13	  884549
0.173611	0.605393	  2.6977	  42.742	0.438393	0.768267	 1.61303	0.723372	0.723892	 2.18524	 99.0413	 4.36878	 367.572	 3090.24	  883824
0.177083	0.605626	 2.69467	  42.742	0.437989	0.755682	  1.6194	0.718261	0.734975	 2.19888	 99.0403	 4.37025	  367.39	 3090.35	  883001
0.180556	0.605848	 2.69223	  42.742	0.437539	0.743587	 1.62523	 0.71287	0.746005	 2.21236	 99.0392	 4.37173	 367.208	 3090.46	  882087
0.184028	0.606058	 2.69037	  42.742	0.437045	0.731973	 1.63053	0.707221	0.756978	 2.22566	  99.038	 4.37323	 367.026	 3090.57	  881084
  0.1875	0.606258	 2.68909	  42.742	0.436511	0.720823	 1.63534	0.701339	 0.76789	 2.23877	 99.0367	 4.37473	 366.844	 3090.68	  879998
0.190972	0.606446	 2.68836	  42.742	0.435938	0.710117	 1.63969	0.695251	0.778737	 2.25168	 99.0353	 4.37624	 366.662	 3090.79	  878835
0.194444	0.606623	 2.68819	  42.742	0.435328	0.699847	 1.64359	0.688977	0.789513	 2.26438	 99.0339	 4.37776	 366.481	  3090.9	  877599
0.197917	0.606788	 2.68855	  42.742	0.434685	0.689998	 1.64707	 0.68254	0.800215	 2.27686	 99.0324	 4.37928	 366.299	    3091	  876295
0.201389	0.606942	 2.68944	  42.742	0.434011	0.680549	 1.65016	0.675964	0.810838	 2.28911	 99.0309	 4.38082	 366.118	 3091.11	  874929
0.204861	0.607084	 2.69084	  42.742	0.433308	0.671488	 1.65287	0.669268	0.821379	 2.30114	 99.0292	 4.38236	 365.937	 3091.21	  873504
0.208333	0.607215	 2.69274	  42.742	0.432579	0.662806	 1.65522	0.662472	0.831832	 2.31292	 99.0275	 4.38391	 365.757	 3091.32	  872027
0.211806	0.607334	 2.69513	  42.742	0.431826	0.654482	 1.65724	0.655596	0.842195	 2.32446	 99.0258	 4.38547	 365.576	 3091.42	  870501
0.215278	0.607443	 2.69799	  42.742	0.431051	0.646507	 1.65894	0.648658	0.852463	 2.33576	  99.024	 4.38703	 365.396	 3091.52	  868933
